Activity,Description
checkin,Check-in with TAs at BSLC lobby
groupcomp,Lunch and group compacts 
coffee,Coffee break
lunch,Lunch 
talkintro,Welcome to qBio7 - Novembre and Cobey (BSLC 109)
talkprince,Welcome to UChicago Biosciences - Prince (BSLC 109)
talkstar,"Science Faculty Star - Brent Doiron, Depts of Neurobiology and Statistics (BSLC 109)"
pdafternoon,Professional development with TAs
wrapup,Wrap-up (BSLC 109)
Computing1a,Basic/Advanced comp. I (BSLC 109/205)
Computing1b,Basic/Advanced comp. I (BSLC 109/205)
Computing2a,Basic/Advanced comp. II (BSLC 109/205)
Computing2b,Basic/Advanced comp. II (BSLC 109/205)
w1,Workshop - Immunology - Khan (BSLC 109)
w2,Workshop - Population genetics - Berg (BSLC 205)
w3,Workshop - Transcriptomics - M. Chen (BSLC 008)
t1,Defensive programming - Cobey (BSLC 109)
t2,Data visualization - Carbonetto (BSLC 205)
t3,Statistics for a data rich world - L. Chen (BSLC 008)
team,Team-building activities 
reception,Reception with Dean's Council Students