Day,AMPM,Time,Activity,G12,G3,G4,G2,G5,G6,G11,G9,G7,G8,G1,G10
9,PM,2:30-3:00,pd1a,1,1,0,0,0,0,0,0,0,0,0,0
9,PM,2:30-3:00,pd1b,0,0,1,1,0,0,0,0,0,0,0,0
9,PM,2:30-3:00,pd2a,0,0,0,0,1,1,0,0,0,0,0,0
9,PM,2:30-3:00,pd2b,0,0,0,0,0,0,1,1,0,0,0,0
9,PM,2:30-3:00,pd3a,0,0,0,0,0,0,0,0,1,1,0,0
9,PM,2:30-3:00,pd3b,0,0,0,0,0,0,0,0,0,0,1,1
9,PM,3:05-3:30,pd1a,0,0,0,0,0,0,0,0,1,1,0,0
9,PM,3:05-3:30,pd1b,0,0,0,0,0,0,0,0,0,0,1,1
9,PM,3:05-3:30,pd2a,1,1,0,0,0,0,0,0,0,0,0,0
9,PM,3:05-3:30,pd2b,0,0,1,1,0,0,0,0,0,0,0,0
9,PM,3:05-3:30,pd3a,0,0,0,0,1,1,0,0,0,0,0,0
9,PM,3:05-3:30,pd3b,0,0,0,0,0,0,1,1,0,0,0,0
9,PM,3:35-4:00,pd1a,0,0,0,0,1,1,0,0,0,0,0,0
9,PM,3:35-4:00,pd1b,0,0,0,0,0,0,1,1,0,0,0,0
9,PM,3:35-4:00,pd2a,0,0,0,0,0,0,0,0,1,1,0,0
9,PM,3:35-4:00,pd2b,0,0,0,0,0,0,0,0,0,0,1,1
9,PM,3:35-4:00,pd3a,1,1,0,0,0,0,0,0,0,0,0,0
9,PM,3:35-4:00,pd3b,0,0,1,1,0,0,0,0,0,0,0,0